slug,status_live,content_type,name,zone,region,url,summary,tags,sitemap_exclude
mount-martha,live,place,Mount Martha,bayside,,https://peninsulainsider.com.au/explore/places/mount-martha/,"Mount Martha is the Peninsula's best-kept secret for people who only want to do one thing: stop. This is swimming-beach country  -  a long, gentle curve of pale sand with bathing boxes at the northern end, south-facing enough to catch afternoon sun, and sheltered enough from the wind to be usable almost nine months of the year. The village proper sits up on the hill, compact and quiet, with a bakery, a few cafes, and enough infrastructure to get through a weekend without ever needing to drive further than the beach. South of the village, the coastal track winds toward the Briars wetlands and eventually down to Mornington; north, it runs into the foreshore reserve and the bathing boxes. It is the simplest, cleanest Peninsula day on Port Phillip: swim, walk, coffee, repeat.",,False
point-nepean,live,place,Point Nepean,tip,,https://peninsulainsider.com.au/explore/places/point-nepean/,"Point Nepean is the Peninsula at its most exposed and historically strange: quarantine station buildings facing the bay, old gun emplacements buried in coastal scrub, and walking tracks that keep revealing a new view across Port Phillip Heads just when you think the drama has peaked. It is less a single attraction than a whole day of edges  -  military ruins, tea-tree, pale water, and the sense that Melbourne has fallen clean away behind you. Go early, wear proper shoes, and give yourself time to keep stopping at the lookouts.",,False
portsea,live,place,Portsea,tip,,https://peninsulainsider.com.au/explore/places/portsea/,"Portsea is the Peninsula's quiet trophy. Where Sorrento turns on the theatre, Portsea keeps its back to the bay and its gates closed  -  this is old-money country, where the holiday houses were built before anyone called them beach houses and the golf club is older than most Australian cities. The village itself is barely a village: a pub, a general store, a scattering of shops around the foreshore, and a short walk down to a jetty that still looks essentially as it did a century ago. But push past the surface and Portsea is the entry point for the whole south-western tip of the Peninsula: Point Nepean is next door, the back-beach surf is five minutes away, and the front beach is one of the most protected swims on Port Phillip. Come for a long lunch at the pub, a quiet morning walk before the day-trippers find Sorrento, or a summer weekend that stays deliberately low-key.",,False
red-hill,live,place,Red Hill,red-hill-plateau,,https://peninsulainsider.com.au/explore/places/red-hill/,"Red Hill sits at the cool, misty heart of the Mornington Peninsula hinterland, perched on a basalt plateau where morning fog and afternoon light conspire to make this some of the most coveted pinot noir country in Australia. The plateau runs between the bay and the ocean, high enough to catch the cool Southern Ocean influence that makes the wines sing. A village by any strict measure  -  a general store, a monthly market, some of Victoria's finest restaurants tucked behind vineyard gates  -  Red Hill nonetheless organises the whole upper Peninsula around itself. Drives here wind through ferny gullies and open onto views that stop you mid-sentence. The Saturday market is worth planning a weekend around. The winery restaurant circuit  -  Ten Minutes by Tractor, Montalto, Principia, Crittenden  -  is the strongest such cluster in the state.",,False
rosebud,live,place,Rosebud,bayside,,https://peninsulainsider.com.au/explore/places/rosebud/,"Rosebud is the largest of the bayside towns and the one locals use when they actually want something done  -  a supermarket, a hardware store, an everyday main street that has not yet been aestheticised into a postcard. That practicality is also its charm. The beach is long and genuinely good, with a sheltered swimming area and grass right up to the sand; the jetty is a quiet fishing spot at dusk; and a string of ethnic kitchens along Point Nepean Road provide the kind of honest, unheralded lunches that make a weekend on the Peninsula feel less like a brochure and more like a real place. Use Rosebud as your resupply stop, but don't rush through it.",,False
rye,live,place,Rye,back-beaches,,https://peninsulainsider.com.au/explore/places/rye/,"Rye is the pivot point of the lower Peninsula  -  the last town before Sorrento and Portsea, the first one where the landscape really opens up to the Southern Ocean. The front beach is a long bay-calm stretch with a pier and a century of summer memory behind it; the back beach is where you drive to in ten minutes to remind yourself that the ocean side is an entirely different country. In between sits a main street that has quietly improved itself over the past five years, a brewery precinct in the hills above the town, and Peninsula Hot Springs close enough to slot into an afternoon without rearranging the day. Rye is where families have always come to do nothing in particular, and that remains the right instinct.",,False
safety-beach,live,place,Safety Beach,bayside,,https://peninsulainsider.com.au/explore/places/safety-beach/,"Safety Beach is the long shallow crescent between Mount Martha and Dromana  -  the kind of bay beach where the water is calm enough for very small children and the ridge behind it is steep enough to put you among vineyards in under ten minutes. For most of its history it was a quiet caravan-and-holiday-house stretch; in the last decade it has slowly sharpened, with a marina at the western end, a handful of smarter houses lining the foreshore, and a couple of genuinely good food stops using the view properly. It is a useful place to stay for anyone who wants a base that works equally for beach mornings and hinterland afternoons.",,False
shoreham,live,place,Shoreham,ocean-coast,,https://peninsulainsider.com.au/explore/places/shoreham/,"Shoreham barely qualifies as a village, and that is exactly its charm. A store, a hall, a tangle of narrow roads threading down to one of the loveliest small beaches on the Peninsula, and a handful of vineyards and olive groves that quietly produce some of the region's best fruit. The beach is family-scaled and protected enough for children, the bush behind it runs into Point Leo, and the drive up onto the ridge puts you in cellar door country within ten minutes. This is where locals go when the southern beaches start to feel loud and the long weekend crowd has swallowed Sorrento. Park once, walk to the beach, and stay until the light goes.",,False
sorrento,live,place,Sorrento,tip,,https://peninsulainsider.com.au/explore/places/sorrento/,"Sorrento is where the Peninsula narrows to a point and the social temperature rises. This is old-money beach culture done with increasing sophistication  -  limestone cliffs, a ferry to Queenscliff across the Heads, ocean baths carved from rock at low tide  -  alongside a main street that has quietly evolved into something genuinely worth driving for. The summer crowd is real and relentless, but the town earns it. Off-season Sorrento is a revelation: the light changes, the restaurants empty out to their best selves, and you can walk the ocean beach from one end to the other without encountering anyone but locals. The back beach at dusk is one of the best things on the Peninsula, full stop. Stay at least two nights.",,False
tuerong,live,place,Tuerong,hinterland,,https://peninsulainsider.com.au/explore/places/tuerong/,"Tuerong is the wine country's back door  -  a rolling fold of hills east of the Moorooduc flats where some of the Peninsula's most interesting vineyards have quietly put down roots. Yabby Lake sits at the centre of it, a Halliday Top 100 winery with one of the most relaxed cellar-door programs on the Peninsula, but the same roads will take you to Dexter Wines, Dromana Estate's newer site and a clutch of low-volume producers whose fruit ends up in bottles you'll see in the best wine bars in Melbourne. The landscape is softer here  -  more cattle than vines if you take the wrong turn  -  which is part of why a morning spent looking for cellar doors in Tuerong feels like travel rather than tourism.",,False
