slug,status_live,content_type,venue_type,place,zone,name,address,price_band,url,website,booking_url,booking_provider,phone,email,opening_hours,signature,why_we_go,editor_note_excerpt,if_only_one_thing,best_for,tags,awards,hero_image_src,hero_image_alt,hero_credit,featured_partner,last_verified,publish_date,pair_with,sitemap_exclude
balnarring-market,staging,venue,market,balnarring,red-hill-plateau,Balnarring Market,"Balnarring Village Green, Frankston-Flinders Rd, Balnarring VIC 3926",$,https://peninsulainsider.com.au/explore/markets/balnarring-market/,https://www.balnarringmarket.com.au,https://www.balnarringmarket.com.au,none,,,,"A relaxed village-scale monthly market on Balnarring's green  -  local produce, makers, and the Peninsula's most family-friendly market morning","Balnarring Market is the smaller, softer cousin of Red Hill Market — a village-scale monthly event on the Balnarring Village Green that runs on the third Saturday of each month through the warmer months.","Balnarring Market is the smaller, softer cousin of Red Hill Market - a village-scale monthly event on the Balnarring Village Green that runs on the third Saturday of each month through the warmer months. The stalls lean more toward local produce and smaller craft makers and the whole event moves at a slower pace than the Red Hill crowd. This is the market to take visiting family to when you want…","Go late morning, buy what looks good, and drift into a long Balnarring afternoon.",family outing | garden afternoons | families,"mood:family,slow,garden | season:spring,summer,autumn | audience:families,couples,locals",,/images/sourced/article-picnic-01.webp,Mornington Peninsula landscape — representative image for Balnarring Market,Peninsula Insider,False,2026-04-09,2026-04-09,Balnarring Bakehouse | Elan Vineyard & Gallery,True
balnarring-pub,staging,venue,pub,balnarring,red-hill-plateau,The Balnarring Pub,"3050 Frankston-Flinders Rd, Balnarring VIC 3926",$$,https://peninsulainsider.com.au/explore/pubs/balnarring-pub/,https://balnarringhotel.com.au,https://balnarringhotel.com.au,direct,+61 3 5983 5258,,,"A proper country pub in the middle of Balnarring village  -  open fires in winter, a shaded beer garden in autumn, and honest counter meals","The Balnarring Pub is the kind of country local the Peninsula still does well — a proper pub in the middle of a proper village, with open fires in winter and a shaded beer garden in autumn.","The Balnarring Pub is the kind of country local the Peninsula still does well - a proper pub in the middle of a proper village, with open fires in winter and a shaded beer garden in autumn. The kitchen runs honest counter meals built on Peninsula produce, the tap line runs through Peninsula breweries, and the clientele is a mix of locals, market-going weekenders, and the occasional Melbourne…",Grab the outdoor table you actually want before you order anything.,family outing | garden afternoons | families,"mood:fireplace,family,garden | season:all-year | audience:families,locals,group",,/images/sourced/explore-balnarring-beach-01.webp,Mornington Peninsula landscape — representative image for The Balnarring Pub,Peninsula Insider,False,2026-04-09,2026-04-09,Elan Vineyard & Gallery | Somers General,True
barmah-park-vineyard,staging,venue,winery,moorooduc,hinterland,Barmah Park Vineyard,"3007 Frankston-Flinders Rd, Moorooduc VIC 3933",$$$,https://peninsulainsider.com.au/explore/winerys/barmah-park-vineyard/,https://www.barmahpark.com.au,https://www.barmahpark.com.au/tasting,direct,+61 3 5978 8049,,,"A rustic, intimate cellar door offering a five-wine, five-canape pairing experience from a hatted kitchen  -  the signature tasting format on the Peninsula",Barmah Park has quietly turned itself into the Peninsula's most serious cellar-door-as-dining-experience.,"Barmah Park has quietly turned itself into the Peninsula's most serious cellar-door-as-dining-experience. The signature tasting is a structured five-wine, five-canape pairing run out of a small kitchen that cooks like a hatted restaurant: one canape designed for each wine, paced and explained, across a single relaxed hour at a communal wooden table. It is the only cellar door on the Peninsula…",Book ahead — the pairing experience runs limited sessions.,cellar door | long lunch | anniversary weekends,"mood:cellar-door,long-lunch,slow,anniversary | season:all-year | audience:couples,solo",Peninsula's Only Canape-Paired Cellar Door,/images/sourced/place-merricks-01.webp,Mornington Peninsula landscape — representative image for Barmah Park Vineyard,Peninsula Insider,False,2026-04-09,2026-04-09,Barmah Park Farm Kitchen | Moorooduc Estate,True
barmah-park,staging,venue,cafe,moorooduc,hinterland,Barmah Park Farm Kitchen,"3007 Frankston-Flinders Rd, Moorooduc VIC 3933",$$,https://peninsulainsider.com.au/explore/cafes/barmah-park/,https://www.barmahpark.com.au,https://www.barmahpark.com.au/kitchen,direct,+61 3 5978 8049,,,"All-day farm kitchen and courtyard  -  brunches, cheese plates, and an easy Peninsula midweek lunch without the wine country theatre",Barmah Park runs a beautifully relaxed farm kitchen and courtyard alongside its more formal canape-paired cellar-door program.,"Barmah Park runs a beautifully relaxed farm kitchen and courtyard alongside its more formal canape-paired cellar-door program. The kitchen opens for brunch and runs an all-day menu that is closer to a village café than a winery restaurant - house-baked pastries, good eggs, cheese and charcuterie boards, a short pasta list at lunch, and a glass of estate Pinot on the side if the mood is right. The…",Go on a weekday if you can.,brunch | long lunch | garden afternoons,"mood:slow,garden | season:spring,summer,autumn | audience:couples,families,locals",,/images/sourced/article-dog-friendly-01.webp,Mornington Peninsula landscape — representative image for Barmah Park Farm Kitchen,Peninsula Insider,False,2026-04-09,2026-04-09,Barmah Park Vineyard | Peninsula Fresh Organics,True
barragunda-dining,staging,venue,restaurant,cape-schanck,ocean-coast,Barragunda Dining,"165 Boneo Rd, Cape Schanck VIC 3939",$$$$,https://peninsulainsider.com.au/explore/restaurants/barragunda-dining/,https://www.barragundadining.com.au,https://www.barragundadining.com.au/reservations,direct,+61 3 5988 6766,,,Chef Simone Watts's farm dining room on a 1000-acre regenerative estate at Cape Schanck  -  one of the Peninsula's most compelling new voices,Barragunda is the Peninsula's most genuinely farm-to-table dining experience and one of the most compelling new voices in the region.,"Barragunda is the Peninsula's most genuinely farm-to-table dining experience and one of the most compelling new voices in the region. Simone Watts's kitchen sits on a 1000-acre regenerative farm property at Cape Schanck, the menu is built almost entirely around what the farm produces that week, and the room is quiet, intimate, and deliberately under-publicised in a way that feels almost rare in…",Book well in advance.,anniversary weekends | long lunch | couples,"mood:anniversary,slow,long-lunch,first-date | season:all-year | audience:couples,solo",,/images/sourced/category-restaurant-04.webp,Mornington Peninsula landscape — representative image for Barragunda Dining,Peninsula Insider,False,2026-04-09,2026-04-09,One Spa at RACV Cape Schanck Resort | Nazaaray Estate,True
bass-and-flinders,staging,venue,distillery,mornington,bayside,Bass & Flinders Distillery,"232 Balnarring Rd, Tuerong VIC 3915",$$,https://peninsulainsider.com.au/explore/distillerys/bass-and-flinders/,https://bassandflindersdistillery.com,https://bassandflindersdistillery.com/book,direct,+61 3 5989 7022,,,A Peninsula gin distillery with a gin-school tasting experience that has quietly become one of the region's best wet weather plans,Bass & Flinders has been quietly building one of the best small distillery operations in Victoria since 2009.,"Bass & Flinders has been quietly building one of the best small distillery operations in Victoria since 2009. The gin range is genuinely varied - a crisp citrus-forward classic, a local-botanical Angry Ant featuring wattle seed and pink pepper, and a maceration gin that rewards closer attention. The cellar door is compact and a little industrial in the best way, and the gin school sessions let…","Book ahead for the gin school — it sells out, especially in winter, and it is one of the Peninsula's better hands-on experiences.",wet-weather plan | cellar door | couples,"mood:rainy-day,cellar-door,slow | season:all-year | audience:couples,group,first-timers",,/images/sourced/article-cellar-door-01.webp,Mornington Peninsula landscape — representative image for Bass & Flinders Distillery,Peninsula Insider,False,2026-04-09,2026-04-09,Mornington Peninsula Brewery | Mornington Dumpling House,True
birch-creek,live,venue,cottage,red-hill,red-hill-plateau,Birch Creek,Red Hill VIC 3937,$$,https://peninsulainsider.com.au/explore/cottages/birch-creek/,https://www.birchcreek.com.au,https://www.birchcreek.com.au,airbnb,,,,"Two self-contained farm cottages on 40 acres near Red Hill — The Mavis (sleeps two) and The June (sleeps four), with open fireplaces and friendly goats","40 acres, open fires, dog-friendly, friendly goats — the most quietly rural cottage stay in the Red Hill hinterland.","Two self-contained farm cottages on 40 acres between Red Hill and Dromana: The Mavis sleeps two, The June sleeps four. Both have open fireplaces and an outdoor tub. The property has friendly goats, which sounds like a detail until you've arrived on a cold afternoon and found that it is, in fact, exactly the right detail. Dog-friendly on 40 acres — the most space per dog in the Peninsula cottage…",Bring the dog — the 40-acre setting is the clearest dog-cottage argument on the Peninsula.,dog-friendly | fireplace | slow,"mood:fireplace,slow,garden,weekend-escape | season:autumn,winter,spring | audience:couples,families",,/images/sourced/place-red-hill-01.webp,Mornington Peninsula — representative image for Birch Creek pending venue media,Peninsula Insider,False,2026-05-07,2026-05-08,Red Hill Community Market | Ten Minutes by Tractor,False
bistro-elba,live,venue,restaurant,sorrento,bayside,Bistro Elba,"152 Ocean Beach Rd, Sorrento VIC 3943",$$$,https://peninsulainsider.com.au/explore/restaurants/bistro-elba/,https://www.bistroelba.com.au,https://www.bistroelba.com.au/bookings,direct,+61 3 5984 4995,,,"A beachy, artfully dilapidated French bistro on Ocean Beach Road  -  twice-baked soufflé, ocean-trout gravlax, and a wine list leaning on small emerging French producers",Bistro Elba is the Sorrento room that makes you feel like you have found the real version of the village.,"Bistro Elba is the Sorrento room that makes you feel like you have found the real version of the village. The space is deliberately low-key - timber floors worn soft, candlelight, a short menu chalked up every day - and the cooking is classic French bistro with enough restraint to make it feel entirely of its place. Twice-baked cheese soufflé, gin-cured ocean trout with cucumber and dill, whole…","Book for dinner on a Friday in autumn, sit at the bar if the dining room is full, and order the soufflé twice.",wet-weather plan | anniversary weekends | couples,"mood:anniversary,fireplace,first-date,slow | season:all-year | audience:couples,group",Good Food Guide 2024,/images/sourced/category-restaurant-01.webp,"Restaurant dining placeholder for Bistro Elba, Mornington Peninsula",Peninsula Insider placeholder,False,2026-04-09,2026-04-09,Sorrento Gelato | The Baths Sorrento,False
blue-moon-cottages,live,venue,cottage,rye,bayside,Blue Moon Cottages,Rye VIC 3941,$$,https://peninsulainsider.com.au/explore/cottages/blue-moon-cottages/,https://www.bluemooncottages.com.au,https://www.bluemooncottages.com.au,direct,,,,Three 1940s cottages 250 metres from Rye bay beach — Sandpiper is the dog-friendly unit with a wood fire and fenced courtyard,"250 metres from Rye bay beach, dog-friendly, 1940s character — the clearest fireplace-and-beach cottage combination on the Peninsula.","Three 1940s cottages sitting 250 metres from Rye's bay beach. The dog-welcoming unit is Sandpiper — one bedroom plus loft, wood fire, fenced courtyard, no extra pet fee listed. The winter fireplace experience is the reason most guests return: load up at the Red Hill Community Market on Saturday morning, light the fire by afternoon. Blue Moon draws one of the highest proportions of repeat visitors…","Book Sandpiper if dogs are coming — fenced courtyard, no extra pet fee.",dog-friendly | beach | fireplace,"mood:beach,fireplace,slow,weekend-escape | season:autumn,winter,spring | audience:couples,families",,/images/sourced/place-rye-01.webp,Mornington Peninsula — representative image for Blue Moon Cottages pending venue media,Peninsula Insider,False,2026-05-07,2026-05-08,Red Hill Community Market | Peninsula Hot Springs,False
brewers-cottage,live,venue,cottage,red-hill,red-hill-plateau,Brewer's Cottage — Red Hill Brewery,"88 Shoreham Rd, Red Hill South VIC 3937",$$,https://peninsulainsider.com.au/explore/cottages/brewers-cottage/,https://www.redhillbrewery.com.au/brewers-cottage/,https://www.redhillbrewery.com.au/brewers-cottage/,direct,,,,"A three-bedroom house on the Red Hill Brewery property — stocked beer fridge, open fire, ten seconds from the bar open Thursday to Sunday","On the brewery property, bar ten seconds away, open fire — the most direct producer-stay on the Peninsula.","A three-bedroom house on the Red Hill Brewery property, with a designer kitchen, open fire, and a stocked beer fridge. The bar is ten seconds from the front door and open Thursday to Sunday. Midweek stays are private and quiet — the brewery is closed and you have the property to yourself. Weekend stays are sociable rather than secluded, with the taproom operating next door. The most-cited…",Midweek for quiet; weekend for access to the taproom.,cellar-door | fireplace | weekend-escape,"mood:cellar-door,fireplace,slow | season:all-year | audience:couples,group",,/images/sourced/place-red-hill-01.webp,Mornington Peninsula — representative image for Brewer's Cottage pending venue media,Peninsula Insider,False,2026-05-07,2026-05-08,Red Hill Estate | Main Ridge Estate,False
cape-retreat,live,venue,villa,cape-schanck,back-beaches,The Cape Retreat,Cape Schanck VIC 3939,$$$$,https://peninsulainsider.com.au/explore/villas/cape-retreat/,https://thecaperetreat.com.au,https://thecaperetreat.com.au,direct,,,,"Twelve luxury suites on a Cape Schanck hilltop with Bass Strait views — primarily exclusive-hire, individual suites may be available on enquiry","Hilltop Cape Schanck position with unbroken Bass Strait views — strongest as a group or retreat venue, enquire for individual availability.","The Cape Retreat sits on a Cape Schanck hilltop with panoramic views across Bass Strait and the RACV golf course. Twelve luxury suites, primarily operated as an exclusive-hire venue for group stays, wellness retreats, and weddings. Individual suite bookings may be available on enquiry, but this is not a standard hotel-style booking. If the appeal is the architectural statement rather than group…",Confirm individual suite availability directly — this is primarily a group-hire venue.,wellness | view | weekend-escape,"mood:view,wellness,slow | season:all-year | audience:couples,group",,/images/sourced/place-cape-schanck-01.webp,Cape Schanck — representative image for The Cape Retreat pending venue media,Peninsula Insider,False,2026-05-07,2026-05-08,Barragunda Dining | Cape Schanck Lighthouse,False
cassis,live,venue,villa,red-hill,red-hill-plateau,Cassis Red Hill,Red Hill VIC 3937,$$$,https://peninsulainsider.com.au/explore/villas/cassis/,https://cassisredhill.com.au,https://cassisredhill.com.au,direct,,,,"Five adults-only villas with private heated mineral plunge pools, on the edge of Red Hill wine country with views over Western Port Bay",Every deck has a private heated plunge pool — the clearest argument for Cassis over any other villa in the Red Hill cluster.,"Cassis is a converted French farmhouse, and the most structurally distinct option in the Red Hill villa cluster. Where Polperro is intimate studio-scale with open fires and Crittenden is estate-on-a-lake, Cassis gives every villa a private heated mineral plunge pool or outdoor concrete bath on its deck. The views run over the Lancemore Lindenderry vineyard and, past that, Western Port Bay — you…",Book the Lodge or Retreat villa for the largest pool configuration. Confirm ownership change status before arrival.,anniversary weekends | weekend-escape | romance,"mood:anniversary,romance,view,slow,garden | season:all-year | audience:couples",,/images/sourced/place-red-hill-01.webp,Mornington Peninsula — representative image for Cassis Red Hill pending venue media,Peninsula Insider,False,2026-05-07,2026-05-08,Lancemore Lindenderry | Foxeys Hangout,False
cedar-and-pine,staging,venue,restaurant,mornington,bayside,Cedar & Pine,"18 Blake St, Mornington VIC 3931",$$$,https://peninsulainsider.com.au/explore/restaurants/cedar-and-pine/,https://cedarandpine.com.au,https://cedarandpine.com.au/bookings,direct,+61 3 5975 7899,,,"Modern Middle Eastern grazing in a warm Mornington room  -  dips, charred flatbreads, slow-cooked lamb, and a table built for sharing",Cedar & Pine is the Mornington answer to the modern Middle Eastern dining-room movement that has swept the Melbourne scene over the past few years.,"Cedar & Pine is the Mornington answer to the modern Middle Eastern dining-room movement that has swept the Melbourne scene over the past few years. The kitchen runs a grazing-style menu - hummus and labneh with house-made flatbreads, smoked eggplant, spiced carrots, slow-cooked lamb shoulder built for the centre of the table - and the room is warm and relaxed rather than fussy. This is the…",Book for six or more.,long lunch | group lunches | families,"mood:big-group,long-lunch,slow | season:all-year | audience:group,families,couples",,/images/sourced/category-restaurant-04.webp,Mornington Peninsula landscape — representative image for Cedar & Pine,Peninsula Insider,False,2026-04-09,2026-04-09,Garagiste | Mornington Farmers' Market,True
ciao-amici,staging,venue,restaurant,mornington,bayside,Ciao Amici,"92 Main St, Mornington VIC 3931",$$,https://peninsulainsider.com.au/explore/restaurants/ciao-amici/,https://ciaoamici.com.au,https://ciaoamici.com.au,direct,+61 3 5976 6500,,,"Dependable neighbourhood Italian on Mornington's main street  -  wood-fired pizza, classic pasta, and the default weeknight answer in town",Ciao Amici is the neighbourhood Italian that every decent town needs and the Peninsula gets in Mornington.,"Ciao Amici is the neighbourhood Italian that every decent town needs and the Peninsula gets in Mornington. The dining room is unpretentious, the wood-fired oven runs through every service, and the menu holds exactly what it should: margherita and diavola, a short list of classic pastas, a veal scallopini, a tiramisu to finish. The kitchen is reliable rather than inventive, and that is exactly its…",Order from the wood-fired side of the menu and keep the wine simple.,family outing | families | couples,"mood:family,quick-bite | season:all-year | audience:families,couples,group",,/images/sourced/category-restaurant-01.webp,Mornington Peninsula landscape — representative image for Ciao Amici,Peninsula Insider,False,2026-04-09,2026-04-09,Garagiste | Mornington Farmers' Market,True
