slug,status_live,content_type,category,title,venue_name,place,zone,start_date,end_date,recurrence,url,booking_url,summary,tags,visitor_appeal_score,family_friendly,hero_image_src,sitemap_exclude
hastings-thursday-street-market,live,event,market,Hastings Thursday Street Market,High Street Hastings,hastings,,2026-05-07,2027-04-29,weekly,https://peninsulainsider.com.au/whats-on/hastings-thursday-street-market/,,"Weekly outdoor street market on High Street Hastings every Thursday. 40+ stalls featuring homemade, homegrown and craft goods. Fresh produce, handmade goods, plants. Local food options available on the street.",,5,True,/images/sourced/category-market-02.webp,False
heart-of-the-community-market-rosebud,live,event,market,Heart of the Community Market (Rosebud),Rosebud Foreshore Reserve,rosebud,,2026-05-09,2026-05-09,monthly,https://peninsulainsider.com.au/whats-on/heart-of-the-community-market-rosebud/,,"Community market at Rosebud on the second Saturday of the month. Approximately 160 stalls with craft, handmade and new products, fresh produce and plants. No used goods policy. Located near Rosebud foreshore.",,,True,/images/sourced/category-market-01.webp,False
hill-ridge-community-market-september-2026-restart,live,event,market,Hill & Ridge Community Market — September 2026 (Restart),Red Hill Recreation Reserve,red-hill,,2026-09-05,2026-09-05,monthly,https://peninsulainsider.com.au/whats-on/hill-ridge-community-market-september-2026-restart/,,"First market of the 2026–2027 season restart at Red Hill Recreation Reserve. Monthly artisan market celebrating local food, wine, produce, crafts and community. Fresh local products; food stalls; winemaker presence and artisan wares.",,,True,,False
jetty-road-brewery-mothers-day-2026,live,event,food-wine,Mother's Day at Jetty Road Brewery,Jetty Road Brewery,dromana,,2026-05-10,2026-05-10,annual,https://peninsulainsider.com.au/whats-on/jetty-road-brewery-mothers-day-2026/,,"A looser Mother's Day option in Dromana, running from 11am to 9pm and better suited to families who want the day to feel easy rather than ceremonial.",,3,True,/images/sourced/category-brewery-01.webp,False
main-street-mornington-festival-2026,live,event,community,Main Street Mornington Festival 2026,Main Street Mornington,mornington,,2026-10-18,2026-10-18,annual,https://peninsulainsider.com.au/whats-on/main-street-mornington-festival-2026/,,"Annual free community festival on Mornington's iconic Main Street. Free all-ages event with 7 stages and performance areas, live music, local wine, craft beer, food stalls, local produce, artisan crafts, kids activities, and roving performers. Runs 11 am–5 pm on the third Sunday of October. Note: 20",,4,True,/images/sourced/category-market-01.webp,False
michael-vale-exhibition-at-mprg,live,event,exhibition,Michael Vale Exhibition at MPRG,Mornington Peninsula Regional Gallery,mornington,,2026-02-28,2026-05-31,annual,https://peninsulainsider.com.au/whats-on/michael-vale-exhibition-at-mprg/,,Solo exhibition by artist Michael Vale at Mornington Peninsula Regional Gallery. Runs concurrently with New Wave 26 exhibition. Open Saturday–Sunday 11 am–4 pm.,,2,True,,False
moonlit-sanctuary-easter-program,live,event,family-programs,Moonlit Sanctuary  -  Easter School Holiday Program,,mornington,,2026-04-10,2026-04-27,seasonal,https://peninsulainsider.com.au/whats-on/moonlit-sanctuary-easter-program/,https://moonlitsanctuary.com.au,"Twenty-five years of conservation programming, wildlife encounters, and the most genuine family outing on the Peninsula that isn't a beach.",,,,/images/sourced/article-kids-peninsula-01.webp,False
mornington-christmas-festival-main-street-christmas-parade,live,event,community,Mornington Christmas Festival & Main Street Christmas Parade,Main Street Mornington,mornington,,2026-12-20,2026-12-23,annual,https://peninsulainsider.com.au/whats-on/mornington-christmas-festival-main-street-christmas-parade/,,"Annual Christmas celebration in Mornington. Christmas Parade at 1pm on Main Street (roving brass band, hip hop dancers, workshop elves, roller skating Christmas tree and baubles, Mr & Mrs Claus). Santa meet-and-greet 1:30–4pm on parade day. Santa on Main Street strip 4–7pm on 21–23 Dec. Free communi",,,True,,False
mornington-cup-2026,live,event,racing-sport,Mornington Cup 2026,,mornington,,2026-04-18,2026-04-18,annual,https://peninsulainsider.com.au/whats-on/mornington-cup-2026/,https://www.countryracing.com.au/mornington,"Eight races at Mornington Racecourse — Saturday 18 April 2026. The Peninsula's biggest raceday: a marquee lawn, food trucks that mean it, and a town that takes the afternoon off.",,,,/images/sourced/explore-mornington-foreshore-01.webp,False
mornington-king-s-birthday-race-day,live,event,racing-sport,Mornington King's Birthday Race Day,Mornington Racecourse,mornington,,2026-06-08,2026-06-08,one-off,https://peninsulainsider.com.au/whats-on/mornington-king-s-birthday-race-day/,https://mrc.racing.com/calendar/2026/06/08/mornington-kings-birthday,"Annual King's Birthday public holiday thoroughbred race day at Mornington Racecourse. Feature races, on-course entertainment, betting facilities, dining packages. Picturesque coastal setting racecourse on the Peninsula.",,,True,,False
mornington-peninsula-regional-gallery-school-holiday-workshops,live,event,family-programs,Mornington Peninsula Regional Gallery – School Holiday Workshops,Mornington Peninsula Regional Gallery,mornington,,2026-07-01,2026-07-10,ongoing,https://peninsulainsider.com.au/whats-on/mornington-peninsula-regional-gallery-school-holiday-workshops/,,"Free and low-cost school holiday art workshops at Mornington Peninsula Regional Gallery. Recurring program of workshops for children (8+), teens and families. Includes hands-on art activities, artist-led sessions connected to current exhibitions. January 2026 confirmed workshop with artist Dominic W",,,True,,False
mornington-peninsula-winter-wine-weekend-2026,live,event,food-wine,Mornington Peninsula Winter Wine Weekend 2026,Red Hill Showgrounds (centrepiece),red-hill,,2026-06-06,2026-06-08,one-off,https://peninsulainsider.com.au/whats-on/mornington-peninsula-winter-wine-weekend-2026/,https://www.mornpen.vic.gov.au/Events-Activities/Winter-Wine-Weekend,"Three-day annual celebration of Mornington Peninsula food and wine over King's Birthday long weekend. Launch event: Winter Wine Festival at Red Hill Showgrounds Saturday 6 June 11am–4pm – dozens of wineries, 120+ premium wines, branded Riedel glass and food. Sunday & Monday: cellar door events, long",,,False,/images/sourced/category-winery-03.webp,False
mornington-peninsula-winter-wine-weekend-winter-wine-festival,live,event,food-wine,Mornington Peninsula Winter Wine Weekend — Winter Wine Festival,Red Hill Showgrounds (Pavilions),red-hill,,2026-06-06,2026-06-08,annual,https://peninsulainsider.com.au/whats-on/mornington-peninsula-winter-wine-weekend-winter-wine-festival/,https://events.humanitix.com/winter-wine-festival,"Annual showcase of Mornington Peninsula's cool-climate wines over the King's Birthday long weekend. Centrepiece event: Winter Wine Festival at Red Hill Showgrounds — taste 35 wineries and 150 wines, with a RIEDEL tasting glass included, plus masterclasses, food, and live music. Broader weekend inclu",,5,False,/images/sourced/category-winery-01.webp,False
mornington-racecourse-market-may-2026,live,event,market,Mornington Racecourse Market — May 2026,Mornington Racecourse,mornington,,2026-05-10,2026-05-10,monthly,https://peninsulainsider.com.au/whats-on/mornington-racecourse-market-may-2026/,,Cancelled: the Mornington Racecourse Market scheduled for Sunday 10 May 2026 will not go ahead due to a race day at the racecourse.,,3,True,/images/sourced/category-market-01.webp,False
mornington-racecourse-market,live,event,market,Mornington Racecourse Market,Mornington Racecourse,mornington,,2026-06-14,2026-06-14,monthly,https://peninsulainsider.com.au/whats-on/mornington-racecourse-market/,,"Monthly craft market at Mornington Racecourse. 300+ stalls of hand-made, home-made and Australian-designed goods. Street food vendors, live music, animal farm and face painting for kids. Parking $5. Dogs not permitted (service dogs exempt).",,,True,/images/sourced/category-market-02.webp,False
mornington-racecourse-monthly-market-june-2026,live,event,market,Mornington Racecourse Monthly Market — June 2026,Mornington Racecourse,mornington,,2026-06-14,2026-06-14,monthly,https://peninsulainsider.com.au/whats-on/mornington-racecourse-monthly-market-june-2026/,,"Monthly market at Mornington Racecourse featuring handmade crafts, fashion, fresh produce, art, and artisan goods. Runs second Sunday of the month year-round. June 2026 edition noted on Shire markets page.",,3,True,/images/sourced/category-market-01.webp,False
mornington-tourist-railway-santa-specials,live,event,family-programs,Mornington Tourist Railway – Santa Specials,Moorooduc Railway Station,moorooduc,,2026-12-06,2026-12-20,annual,https://peninsulainsider.com.au/whats-on/mornington-tourist-railway-santa-specials/,https://morningtonrailway.org.au/,Special Christmas Santa train rides on Mornington Tourist Railway in December. Steam train journey with visit from Santa. Children can write letters to Santa posted to the North Pole. Christmas carols at Moorooduc Station. Family festive experience on a heritage steam railway.,,,True,,False
mornington-tourist-railway-school-holiday-special-runs,live,event,family-programs,Mornington Tourist Railway – School Holiday Special Runs,Moorooduc Railway Station,moorooduc,,2026-07-05,2026-07-05,one-off,https://peninsulainsider.com.au/whats-on/mornington-tourist-railway-school-holiday-special-runs/,https://morningtonrailway.org.au/,Heritage steam and diesel train rides at Mornington Tourist Railway. Special runs during school holidays and on select Sundays. 5km scenic journey between Moorooduc and Mornington. Vintage carriages. Kids and train enthusiasts of all ages. Moorooduc Station is also adjacent to the Moorooduc Station ,,,True,,False
mornington-wednesday-market-main-street-market,live,event,market,Mornington Wednesday Market (Main Street Market),Main Street Mornington,mornington,,2026-05-06,2027-04-28,weekly,https://peninsulainsider.com.au/whats-on/mornington-wednesday-market-main-street-market/,,"Victoria's longest-running street market – operating over 40 years every Wednesday on Main Street Mornington. 120+ stalls of handmade crafts, home-baked treats, home-grown plants and produce. Rain, hail or shine (high-wind policy applies). Vibrant weekly community gathering.",,,True,/images/sourced/category-market-01.webp,False
mornington-winter-music-festival-2026,live,event,live-music,Mornington Winter Music Festival 2026,Main Street Mornington (central precinct),mornington,,2026-06-05,2026-06-08,one-off,https://peninsulainsider.com.au/whats-on/mornington-winter-music-festival-2026/,https://www.morningtonmusicfestival.com.au,"Three-day live music festival over King's Birthday long weekend. 20+ venues across Mornington – bars, restaurants, churches and theatres hosting jazz, blues, soul, R&B and other genres. Street entertainment on Main Street with circus acts, stilt walkers, fire twirlers. FREE to $25 per gig. Full prog",,,True,,False
mothers-day-classic-moonah-links-2026,live,event,racing-sport,Mother's Day Classic 2026 — Peppers Moonah Links,Peppers Moonah Links Resort,,,2026-05-10,2026-05-10,annual,https://peninsulainsider.com.au/whats-on/mothers-day-classic-moonah-links-2026/,,"The Peninsula's clearest active Mother's Day morning: a community walk-run at Moonah Links with 2.5km, 7km and 15km options before the lunch bookings take over.",,4,True,/images/sourced/place-cape-schanck-01.webp,False
mprg-autumn-exhibition,live,event,exhibition,Mornington Peninsula Regional Gallery  -  Autumn Exhibition,,mornington,,2026-04-01,2026-06-30,seasonal,https://peninsulainsider.com.au/whats-on/mprg-autumn-exhibition/,https://mprg.mornpen.vic.gov.au,"The Peninsula's most serious public art institution, running a rotating autumn exhibition calendar that's quietly one of the best regional programmes in Victoria.",,,,/images/sourced/explore-mprg-01.webp,False
mt-eliza-farmers-market,live,event,market,Mt Eliza Farmers Market,Mt Eliza Village Precinct,,,2026-05-24,2026-05-24,monthly,https://peninsulainsider.com.au/whats-on/mt-eliza-farmers-market/,,"The only VFMA-accredited farmers market on the Mornington Peninsula. Only genuine farmers and specialty makers. Monthly on the 4th Sunday. Produce includes Flinders Sourdough, Mumma Made jams, Red Hill Apples, Blue Bay cheese. VFMA accreditation guarantees farm-gate authenticity.",,,True,,False
mt-martha-south-beach-market,live,event,market,Mt Martha South Beach Market,Mt Martha House and Lawn,mount-martha,,2026-06-08,2026-06-08,one-off,https://peninsulainsider.com.au/whats-on/mt-martha-south-beach-market/,,"Street food and makers market at Mt Martha House and Lawn with sweeping views over Port Phillip Bay. 60+ stalls of high-end goods including fashion, beauty, art, homewares, homemade goods and pet products. Multiple food vans. Held on Victorian public holidays.",,,True,,False
national-works-on-paper-2026-nwop,live,event,exhibition,National Works on Paper 2026 (NWOP),Mornington Peninsula Regional Gallery,mornington,,2026-09-05,2026-11-22,one-off,https://peninsulainsider.com.au/whats-on/national-works-on-paper-2026-nwop/,,"One of Australia's leading art awards and exhibitions. $20000 major acquisitive prize. Survey of contemporary art celebrating the medium of paper in all its forms – prints, drawings, collage, mixed media. Open Tue–Sun 11am–4pm. Free entry. Opening event with prize announcement.",,,True,,False
new-wave-26-at-mprg,live,event,exhibition,New Wave 26 at MPRG,Mornington Peninsula Regional Gallery,mornington,,2026-02-28,2026-05-31,one-off,https://peninsulainsider.com.au/whats-on/new-wave-26-at-mprg/,,Contemporary art exhibition at Mornington Peninsula Regional Gallery showcasing a new wave of Australian contemporary art practice. Open Tue–Sun 11am–4pm. Free entry.,,,True,,False
ninch-nabs-samples-seconds-makers-market,live,event,market,Ninch Nabs – Samples & Seconds Makers Market,The Village Church Mount Eliza,,,2026-06-13,2026-06-13,ongoing,https://peninsulainsider.com.au/whats-on/ninch-nabs-samples-seconds-makers-market/,,One-day samples and seconds makers market in Mount Eliza. Brings together local artists and small businesses offering handmade goods at accessible prices. Relaxed community atmosphere.,,5,True,,False
pearcedale-community-market,live,event,market,Pearcedale Community Market,Pearcedale Community Centre,,,2026-05-16,2026-05-16,monthly,https://peninsulainsider.com.au/whats-on/pearcedale-community-market/,,"Monthly community market at Pearcedale Community Centre, held on the 3rd Saturday of every month. Fresh locally baked bread, honey, jam, craft stalls, potted plants, food and coffee. Under shading eucalypts. Dog-friendly (on lead).",,,True,/images/sourced/article-red-hill-saturday-01.webp,False
peninsula-hot-springs-allara-briggs-pattison,live,event,live-music,Peninsula Hot Springs  -  Allara Briggs Pattison,peninsula-hot-springs,rye,,2026-05-02,2026-05-02,one-off,https://peninsulainsider.com.au/whats-on/peninsula-hot-springs-allara-briggs-pattison/,https://www.peninsulahotsprings.com/events,"A named live performance at Peninsula Hot Springs amphitheatre pool — contemporary folk from Yorta Yorta/Dja Dja Wurrung artist Allara Briggs Pattison, included with bathing.",,,,/images/sourced/spa-coastal-pool-01.webp,False
peninsula-hot-springs-bathe-in-cinema-thursdays,live,event,nature,Peninsula Hot Springs – Bathe-in Cinema (Thursdays),Peninsula Hot Springs Amphitheatre,rye,,2026-05-07,2026-07-31,weekly,https://peninsulainsider.com.au/whats-on/peninsula-hot-springs-bathe-in-cinema-thursdays/,https://www.peninsulahotsprings.com/events/,Thursday evening outdoor cinema sessions at Peninsula Hot Springs amphitheatre pool. Watch films from the thermal pools. Regular program runs May–July 2026. Film lineup TBC – check PHS events page.,,,False,/images/sourced/spa-coastal-pool-01.webp,False
peninsula-hot-springs-daily-studio-yoga,live,event,wellness,Peninsula Hot Springs Daily Studio Yoga,Peninsula Hot Springs,,,2026-05-01,2027-04-30,one-off,https://peninsulainsider.com.au/whats-on/peninsula-hot-springs-daily-studio-yoga/,https://www.peninsulahotsprings.com/bathe/wellness-activities,Daily 45-minute yoga class in the Wellness Studio at Peninsula Hot Springs. Guided by a qualified wellness host. Available to guests aged 16+. Optional add-on to bathing experience ($20 surcharge). Booking recommended before 9am or after 6pm.,,,False,/images/sourced/spa-dark-boutique-room-01.webp,False
peninsula-hot-springs-hot-springs-yoga-complimentary,live,event,wellness,Peninsula Hot Springs — Hot Springs Yoga (Complimentary),Peninsula Hot Springs,,,2026-05-01,2027-04-30,one-off,https://peninsulainsider.com.au/whats-on/peninsula-hot-springs-hot-springs-yoga-complimentary/,,Complimentary 25-minute outdoor yoga in the geothermal amphitheatre pools area at Peninsula Hot Springs. Open to all ages. Guided by a qualified wellness host. Included with bathing admission.,,,True,,False
peninsula-hot-springs-kodomo-no-hi,live,event,family-programs,Peninsula Hot Springs  -  Kodomo no Hi (Children's Day),peninsula-hot-springs,rye,,2026-05-09,2026-05-09,one-off,https://peninsulainsider.com.au/whats-on/peninsula-hot-springs-kodomo-no-hi/,https://www.peninsulahotsprings.com/events,"A Japanese cultural celebration at Peninsula Hot Springs — Kodomo no Hi (Children's Day) with family programming, cultural activities, and full-day bathing access.",,,,/images/sourced/article-kids-peninsula-01.webp,False
peninsula-hot-springs-sound-healing-sessions,live,event,live-music,Peninsula Hot Springs – Sound Healing Sessions,Peninsula Hot Springs,rye,,2026-05-01,2026-09-30,monthly,https://peninsulainsider.com.au/whats-on/peninsula-hot-springs-sound-healing-sessions/,https://www.peninsulahotsprings.com/events/,Monthly sound healing events at Peninsula Hot Springs throughout autumn and winter 2026. Immersive sound and thermal bathing experience. Check PHS events page for specific dates.,,,False,/images/sourced/spa-wellness-stones-01.webp,False
peninsula-hot-springs-sunday-sessions,live,event,live-music,Peninsula Hot Springs Sunday Sessions,Peninsula Hot Springs Amphitheatre,rye,,2026-05-03,2026-06-28,weekly,https://peninsulainsider.com.au/whats-on/peninsula-hot-springs-sunday-sessions/,https://www.peninsulahotsprings.com/events/,Live music every Sunday afternoon from the amphitheatre pool stage at Peninsula Hot Springs. Weekly lineup of named artists. Not a standalone ticketed concert – included with afternoon bathing session. Runs May–June 2026.,,,False,/images/sourced/spa-peninsula-hot-springs-hilltop-01.webp,False
peninsula-summer-music-festival-2027-save-the-date,live,event,live-music,Peninsula Summer Music Festival 2027 — Save the Date,Multiple venues across Mornington Peninsula,,,2027-01-02,2027-01-11,annual,https://peninsulainsider.com.au/whats-on/peninsula-summer-music-festival-2027-save-the-date/,https://www.peninsulafestival.com.au,"The Peninsula Summer Music Festival returns for 2027, confirmed as 'Save the Date' on the official festival website. Exact program, venues, and tickets not yet announced. The 2026 edition spanned 3–11 January across 18 events at wineries, churches, and outdoor venues across the Peninsula. Recurring ",,5,True,,False
peninsula-summer-music-festival-2027,live,event,live-music,Peninsula Summer Music Festival 2027,Multiple Peninsula venues – Flinders Civic Hall; Montalto; Port Phillip Estate; Peninsula Hot Springs; Main Ridge Estate; St John's Anglican Church Flinders,,,2027-01-02,2027-01-11,one-off,https://peninsulainsider.com.au/whats-on/peninsula-summer-music-festival-2027/,https://www.peninsulafestival.com.au,Annual summer music festival presented across multiple picturesque Peninsula venues. 2027 dates confirmed as 2–11 January 2027. Program TBC. 2026 edition featured 18 events: baroque opera; jazz (The Bamboos); classical guitar (Karin Schaupp); Ensemble Offspring; AYO Young Artists; Ensemble 642. Venu,,,True,,False
pier-10-mothers-day-lunch-2026,live,event,food-wine,Mother's Day Lunch at Pier 10,Pier 10,,,2026-05-10,2026-05-10,annual,https://peninsulainsider.com.au/whats-on/pier-10-mothers-day-lunch-2026/,,"A winery Mother's Day lunch in Shoreham, the simplest long-table version of the weekend if the brief is one booking and no extra choreography.",,4,True,/images/sourced/category-winery-02.webp,False
point-nepean-portsea-market,live,event,market,Point Nepean Portsea Market,Point Nepean National Park (Quarantine Station precinct),portsea,,2026-06-06,2026-06-06,one-off,https://peninsulainsider.com.au/whats-on/point-nepean-portsea-market/,,"Stunning artisan market set among historic buildings and tea trees in Point Nepean National Park. Everything sold is made or grown by stallholders. Artisan stalls, fresh produce, food vans, live music. Roads become pedestrian walkways during the market. No dogs (service dogs exempt). Shade limited; ",,,True,,False
polperro-cellar-table-private-dining-experience,live,event,food-wine,Polperro Cellar Table — Private Dining Experience,Polperro Winery Restaurant,red-hill,,2026-05-01,2027-04-30,one-off,https://peninsulainsider.com.au/whats-on/polperro-cellar-table-private-dining-experience/,,The most exclusive Polperro dining experience. The Cellar Table seats 6–8 guests in the private dining room below the winery. Five-course Chef's Menu rooted in provenance and seasonality paired with the latest Polperro and Even Keel cuvée releases. Sculptural lighting and intimate tablescape designe,,,False,/images/sourced/category-restaurant-01.webp,False
pt-leo-estate-sculpture-park,live,event,arts,Pt. Leo Estate Sculpture Park,Pt. Leo Estate Sculpture Park,merricks,,2026-05-01,2027-04-30,one-off,https://peninsulainsider.com.au/whats-on/pt-leo-estate-sculpture-park/,https://www.ptleoestate.com.au/experience/sculpture-park/,"Permanent outdoor sculpture park within 16.5 acres of landscaped grounds at Pt. Leo Estate winery. 1.9km short walk (30 min) or 3km long walk (60 min) through world-class contemporary sculpture. Open daily 11am–5pm (last entry 4:30pm). Entry $15 adult, $8 concession, $30 family.",,,True,/images/sourced/venue-pt-leo-sculpture-01.webp,False
red-hill-brewery-secret-stash-weekend,live,event,food-wine,Red Hill Brewery Secret Stash Weekend,Red Hill Brewery,red-hill,,2026-08-15,2026-08-16,annual,https://peninsulainsider.com.au/whats-on/red-hill-brewery-secret-stash-weekend/,https://www.redhillbrewery.com.au/category/events/,"Annual festival of vintage, rare and limited-release beers at Red Hill Brewery. Head Brewer David Golding hosts guided vertical tastings pulled from the cellar including Imperial Stout; Pancho Mole Imperial Stout; Christmas Ale; Temptation and Mulled Mead. Regular tasting sessions scheduled across t",,,True,,False
